Name, Description, Year, Semester, Credits, insti_id, slot_id
CVL100, Environmental Science, 2023, 2, 2, 1, 1
ELL205, Signals and Systems, 2023, 2, 4, 1, 2
COL226, Programming Languages, 2023, 2, 5, 1, 3
COL216, Computer Architecture, 2023, 2, 5 , 1, 4
HUL256, Critical Thinking, 2023, 2, 4, 1, 5
CVL100, Environmental Science, 2022, 2, 2, 1, 1
ELL205, Signals and Systems, 2022, 2, 4, 1, 2
COL226, Programming Languages, 2022, 2, 5, 1, 3
COL216, Computer Architecture, 2022, 2, 5, 1, 4
HUL256, Critical Thinking, 2022, 2, 4, 1, 5
COL202, Discrete Math, 2023, 1, 4, 1, 4
COL106, Data Structures, 2023, 1, 5, 1, 3
COL215, Digital Logic, 2023, 1, 5, 1, 2
MTL106, Probability and Statistics, 2023, 1, 3, 1, 1



